Design,Sample,Recipe,Area,Delay,QoR
simple_spi_orig,62,"st; rw; rwz; st; rw; rfz; rs; rs; f; rw; rs; rwz; rs; rwz; rs; rw; rf; f; st; rfz;",569.94,181.81,102989
simple_spi_orig,63,"st; rf; rs; b; f; b; st; st; rf; rwz; rs; f; rf; rs; rfz; b; rfz; st; rf; b;",546.28,199.34,108654
simple_spi_orig,64,"st; st; f; f; rwz; b; f; rs; rwz; rwz; rs; rs; st; rf; rs; f; rf; f; rfz; st;",562.30,189.28,106218
simple_spi_orig,65,"b; st; rf; rf; st; rs; rfz; f; rs; b; rfz; st; b; st; rf; b; rf; rfz; rf; rw;",556.59,203.11,112868
simple_spi_orig,66,"st; rw; rw; rf; rwz; b; rs; b; rf; st; rw; f; st; rfz; b; rs; f; rw; b; rfz;",557.29,185.97,103045
simple_spi_orig,67,"st; rw; rs; rwz; rfz; f; rwz; f; rf; f; b; rs; f; f; rf; st; st; rf; rwz; rwz;",552.09,181.39,99912
simple_spi_orig,68,"b; st; rf; rfz; rwz; b; b; rw; rw; f; f; rs; rw; rwz; rw; b; rwz; rfz; f; f;",559.23,188.60,105092
simple_spi_orig,69,"b; rw; b; rwz; rwz; rwz; rs; rfz; b; st; b; rf; rw; rw; rs; rf; f; rs; st; f;",556.41,193.19,107308
simple_spi_orig,70,"b; rw; b; rwz; rfz; b; f; rw; rw; f; rw; st; rs; rwz; rf; st; rf; rf; f; st;",551.53,183.82,100833
simple_spi_orig,71,"st; st; rfz; rf; rwz; rs; rf; st; rf; rwz; f; b; rs; rfz; rfz; rf; rfz; rs; rfz; f;",549.91,192.92,105408
simple_spi_orig,72,"b; st; f; f; b; st; rf; rwz; rw; st; b; rw; b; rf; st; b; rs; rs; rw; b;",543.14,189.99,102627
simple_spi_orig,73,"b; st; rfz; rfz; rw; rwz; b; rs; st; st; st; rw; rwz; rfz; rw; rf; st; st; st; f;",562.16,203.11,114086
simple_spi_orig,74,"st; b; rfz; rwz; rw; b; rs; rwz; b; rfz; st; f; f; b; rw; b; rf; f; rw; b;",560.24,190.90,106400
simple_spi_orig,75,"b; rs; rf; rf; rwz; rw; rf; f; rs; f; rs; rs; f; rf; b; f; b; rf; rf; rf;",544.81,189.41,102816
simple_spi_orig,76,"st; st; rf; rwz; st; f; rf; f; rf; st; rw; f; rw; rfz; rs; st; rf; b; b; f;",558.74,203.11,113274
simple_spi_orig,77,"st; rwz; rwz; b; rs; rs; f; b; f; b; f; rs; st; b; b; st; b; rfz; st; b;",570.58,190.64,108300
simple_spi_orig,78,"st; st; st; f; rwz; rwz; rfz; rw; rw; rf; st; rfz; rwz; rw; rs; b; rwz; st; rfz; rf;",567.24,184.11,104328
simple_spi_orig,79,"b; rs; rwz; rfz; rfz; st; rf; rwz; f; st; f; rf; rf; rf; st; f; f; rwz; rw; rs;",543.66,185.97,100455
simple_spi_orig,80,"b; rs; rwz; rfz; f; b; rwz; rs; rwz; rs; rfz; rw; b; rf; st; rwz; rw; st; rw; f;",551.07,185.97,101935
