Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
simple_spi_orig.bench,227,562.07,180.87,101160
simple_spi_orig.bench,228,527.19,201.86,105927
simple_spi_orig.bench,229,532.34,200.52,106400
simple_spi_orig.bench,230,527.09,189.61,99603
simple_spi_orig.bench,231,556.70,180.87,100080
simple_spi_orig.bench,232,541.97,185.97,100085
simple_spi_orig.bench,233,531.19,183.82,97173
simple_spi_orig.bench,234,543.35,202.19,109686
simple_spi_orig.bench,235,561.40,182.65,102102
simple_spi_orig.bench,236,567.42,185.97,104895
simple_spi_orig.bench,237,563.51,188.60,105844
simple_spi_orig.bench,238,539.35,203.11,109417
simple_spi_orig.bench,239,539.29,189.99,101871
simple_spi_orig.bench,240,546.00,203.11,110838
simple_spi_orig.bench,241,545.54,189.47,103005
simple_spi_orig.bench,242,557.39,185.97,103045
simple_spi_orig.bench,243,548.14,196.96,107408
simple_spi_orig.bench,244,556.62,200.52,111200
simple_spi_orig.bench,245,575.45,186.19,106950
simple_spi_orig.bench,246,547.26,180.03,98460
simple_spi_orig.bench,247,573.32,183.29,104859
simple_spi_orig.bench,248,571.90,185.97,105635
simple_spi_orig.bench,249,539.26,190.25,102410
simple_spi_orig.bench,250,525.53,189.99,99225
simple_spi_orig.bench,251,558.42,200.18,111600
simple_spi_orig.bench,252,536.75,194.45,103984
simple_spi_orig.bench,253,559.31,185.97,103415
simple_spi_orig.bench,254,547.77,193.83,105571
simple_spi_orig.bench,255,549.22,181.94,99369
simple_spi_orig.bench,256,548.40,191.40,104668
simple_spi_orig.bench,257,532.90,201.86,106932
simple_spi_orig.bench,258,529.09,184.11,97336
simple_spi_orig.bench,259,538.52,200.52,107600
simple_spi_orig.bench,260,573.33,198.46,113454
simple_spi_orig.bench,261,572.41,193.83,110396
simple_spi_orig.bench,262,530.85,200.52,106000
simple_spi_orig.bench,263,524.02,203.11,106372
simple_spi_orig.bench,264,576.54,185.18,106560
simple_spi_orig.bench,265,559.54,184.87,102856
simple_spi_orig.bench,266,553.70,193.50,106729
simple_spi_orig.bench,267,528.53,186.06,98208
simple_spi_orig.bench,268,543.07,185.18,100455
simple_spi_orig.bench,269,557.94,197.01,109729
simple_spi_orig.bench,270,540.85,187.89,100980
simple_spi_orig.bench,271,536.51,183.82,98088
simple_spi_orig.bench,272,582.31,194.71,112908
simple_spi_orig.bench,273,536.35,193.03,103448
simple_spi_orig.bench,274,534.55,201.86,107334
simple_spi_orig.bench,275,558.49,193.18,107694
simple_spi_orig.bench,276,557.14,193.19,107501
simple_spi_orig.bench,277,553.14,190.78,105070
simple_spi_orig.bench,278,552.76,180.73,99360
simple_spi_orig.bench,279,532.44,201.86,106932
simple_spi_orig.bench,280,578.06,192.51,110976
simple_spi_orig.bench,281,544.35,203.11,110432
simple_spi_orig.bench,282,550.24,200.18,110000
simple_spi_orig.bench,283,540.68,203.04,109620
simple_spi_orig.bench,284,555.46,190.78,105450
simple_spi_orig.bench,285,536.11,196.63,105056
simple_spi_orig.bench,286,545.42,203.04,110635
simple_spi_orig.bench,287,563.69,196.63,110348
simple_spi_orig.bench,288,553.01,185.43,102305
simple_spi_orig.bench,289,533.03,183.82,97539
simple_spi_orig.bench,290,549.68,193.83,105957
simple_spi_orig.bench,291,578.19,185.18,106930
simple_spi_orig.bench,292,572.03,190.90,108680
simple_spi_orig.bench,293,552.90,184.67,101568
simple_spi_orig.bench,294,520.97,201.86,104520
simple_spi_orig.bench,295,556.11,183.29,101748
simple_spi_orig.bench,296,561.10,174.96,97614
simple_spi_orig.bench,297,555.26,201.86,111555
simple_spi_orig.bench,298,550.43,185.97,101750
simple_spi_orig.bench,299,564.52,185.97,104340
simple_spi_orig.bench,300,565.82,185.97,104525
simple_spi_orig.bench,301,547.69,189.03,103383
simple_spi_orig.bench,302,560.07,185.18,103600
simple_spi_orig.bench,303,559.51,185.97,103415
simple_spi_orig.bench,304,548.42,185.97,101380
simple_spi_orig.bench,305,551.62,183.29,100833
simple_spi_orig.bench,306,579.88,184.87,106536
simple_spi_orig.bench,307,529.50,194.46,102626
simple_spi_orig.bench,308,559.04,183.99,102297
simple_spi_orig.bench,309,547.83,203.04,111041
simple_spi_orig.bench,310,563.20,185.97,104155
simple_spi_orig.bench,311,569.59,185.18,105265
