Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
aes_secworks_orig.bench,287,23552.07,567.86,13353984
aes_secworks_orig.bench,288,22891.44,634.76,14512894
aes_secworks_orig.bench,289,22252.99,599.27,13328948
aes_secworks_orig.bench,290,22588.48,573.75,12942924
aes_secworks_orig.bench,291,22558.14,572.39,12903176
aes_secworks_orig.bench,292,22472.49,610.34,13707920
aes_secworks_orig.bench,293,22410.53,587.80,13154670
aes_secworks_orig.bench,294,22764.88,628.22,14295792
aes_secworks_orig.bench,295,22973.38,598.51,13737854
aes_secworks_orig.bench,296,22781.03,597.48,13600257
aes_secworks_orig.bench,297,21839.30,587.74,12819493
aes_secworks_orig.bench,298,22916.58,567.52,12993372
aes_secworks_orig.bench,299,22977.17,615.94,14130855
aes_secworks_orig.bench,300,23171.20,630.38,14597730
aes_secworks_orig.bench,301,21732.29,577.43,12539364
aes_secworks_orig.bench,302,22453.75,609.65,13673877
aes_secworks_orig.bench,303,20926.23,599.21,12534674
aes_secworks_orig.bench,304,22286.19,577.08,12859022
aes_secworks_orig.bench,305,21749.65,631.86,13723619
aes_secworks_orig.bench,306,21768.95,603.31,13126104
aes_secworks_orig.bench,307,21362.02,572.26,12219064
aes_secworks_orig.bench,308,22384.21,637.44,14258608
aes_secworks_orig.bench,309,23052.75,627.18,14453604
aes_secworks_orig.bench,310,22379.26,621.52,13897359
aes_secworks_orig.bench,311,21657.41,598.50,12950886
aes_secworks_orig.bench,312,22528.33,590.83,13291520
aes_secworks_orig.bench,313,23107.22,619.95,14303233
aes_secworks_orig.bench,314,22169.49,576.17,12769344
aes_secworks_orig.bench,315,22915.47,601.62,13771915
aes_secworks_orig.bench,316,22180.73,606.56,13441080
aes_secworks_orig.bench,317,22862.91,604.06,13808648
aes_secworks_orig.bench,318,22728.06,639.24,14523192
aes_secworks_orig.bench,319,23429.05,578.81,13541962
aes_secworks_orig.bench,320,21937.20,601.89,13184137
aes_secworks_orig.bench,321,23017.19,587.56,13510979
aes_secworks_orig.bench,322,22012.92,608.03,13383296
aes_secworks_orig.bench,323,22900.26,572.68,13098800
aes_secworks_orig.bench,324,22863.21,637.30,14563731
aes_secworks_orig.bench,325,22779.68,568.09,12938472
aes_secworks_orig.bench,326,22264.75,645.07,14360280
aes_secworks_orig.bench,327,22236.83,587.90,13052532
aes_secworks_orig.bench,328,22232.32,590.13,13116880
aes_secworks_orig.bench,329,22255.80,572.68,12729860
aes_secworks_orig.bench,330,23520.58,571.42,13429920
aes_secworks_orig.bench,331,22568.95,557.29,12570376
aes_secworks_orig.bench,332,22211.14,680.78,15103480
aes_secworks_orig.bench,333,22122.41,572.84,12653784
aes_secworks_orig.bench,334,22483.62,649.82,14591467
aes_secworks_orig.bench,335,22296.94,594.18,13243824
aes_secworks_orig.bench,336,22557.02,575.28,12970275
aes_secworks_orig.bench,337,21871.93,654.23,14303634
aes_secworks_orig.bench,338,23385.51,631.34,14755935
aes_secworks_orig.bench,339,22528.43,571.01,12863488
aes_secworks_orig.bench,340,23199.27,616.94,14290584
aes_secworks_orig.bench,341,22283.96,668.72,14885044
aes_secworks_orig.bench,342,21594.67,589.52,12718866
aes_secworks_orig.bench,343,22027.51,577.08,12709579
aes_secworks_orig.bench,344,22531.42,607.55,13676317
aes_secworks_orig.bench,345,22246.34,587.97,13058402
aes_secworks_orig.bench,346,22262.00,657.10,14626134
aes_secworks_orig.bench,347,21016.32,622.12,13071952
aes_secworks_orig.bench,348,22185.55,598.28,13266630
aes_secworks_orig.bench,349,22068.73,608.97,13417344
aes_secworks_orig.bench,350,23116.19,584.03,13499744
aes_secworks_orig.bench,351,22944.00,575.43,13192800
aes_secworks_orig.bench,352,22865.56,573.95,13101645
aes_secworks_orig.bench,353,22974.14,621.85,14266854
aes_secworks_orig.bench,354,23211.21,644.83,14947884
aes_secworks_orig.bench,355,22679.53,641.94,14537239
aes_secworks_orig.bench,356,22357.31,583.76,13034131
